annotation_id;annotator;created_at;date;emo_eval;fake_claim;id;io_type;label;lead_time;source;text;updated_at
34;1;15.10.2025 11:27;07.10.2025 11:07;Негативная;ЛОЖЬ;34;MILITARY_REPORT;"[{""start"":92,""end"":100,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]},{""start"":101,""end"":106,""text"":""Киеву"",""labels"":[""TARGET_ENTITY""]},{""start"":65,""end"":70,""text"":""Трамп"",""labels"":[""SOURCE""]}]";;BBC News | Русская служба;Отвечая на вопросы журналистов в Овальном кабинете, Трамп также сказал, что в некотором смысле принял решение о поставках крылатых ракет Tomahawk Киеву. Американский лидер добавил, что хотел бы знать, как именно украинские войска будут использовать эти ракеты.;15.10.2025 11:27
;;;;;;;;;;;;
35;1;15.10.2025 11:27;07.10.2025 09:05;Негативная;ЛОЖЬ;35;ATTACK_REPORT;"[{""start"":0,""end"":5,""text"":""Дроны"",""labels"":[""MIL_TERM""]},{""start"":17,""end"":35,""text"":""Полтавскую область"",""labels"":[""GEO_LOC""]},{""start"":212,""end"":271,""text"":""Государственная служба по чрезвычайным ситуациям Украины"",""labels"":[""ORG""]}]";;TopWar;Дроны атаковали Полтавскую область В результате попадания по объектам гражданской инфраструктуры произошли пожары в административных зданиях, повреждены жилой дом и хозяйственная постройка , сообщает ( Государственная служба по чрезвычайным ситуациям Украины.;15.10.2025 11:27
;;;;;;;;;;;;
36;1;15.10.2025 11:27;07.10.2025 01:59;Негативная;ЛОЖЬ;36;MILITARY_REPORT;"[{""start"":0,""end"":5,""text"":""Трамп"",""labels"":[""SOURCE""]},{""start"":58,""end"":66,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]},{""start"":67,""end"":73,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]}]";;BBC News | Русская служба;Трамп в каком-то смысле принял решение о передаче ракет Tomahawk Украине Президент США Дональд Трамп заявил, что в каком-то смысле принял решение о поставках Украине крылатых ракет Tomahawk, сообщает агентство Reuters.;15.10.2025 11:27
;;;;;;;;;;;;
37;1;15.10.2025 11:27;06.10.2025 22:46;Негативная;ЛОЖЬ;37;ATTACK_REPORT;"[{""start"":0,""end"":18,""text"":""Российские военные"",""labels"":[""SOURCE""]},{""start"":23,""end"":28,""text"":""Сумам"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;Российские военные удар по Сумам не комментировали.;15.10.2025 11:27
;;;;;;;;;;;;
38;1;15.10.2025 11:27;11.10.2025 23:14;Негативная;ЛОЖЬ;38;ATTACK_REPORT;"[{""start"":106,""end"":125,""text"":""российских дронов"",""labels"":[""MIL_TERM""]},{""start"":126,""end"":134,""text"":""Зеленский"",""labels"":[""SOURCE""]},{""start"":139,""end"":144,""text"":""Трамп"",""labels"":[""SOURCE""]},{""start"":180,""end"":187,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]},{""start"":188,""end"":196,""text"":""Томагавк"",""labels"":[""MIL_TERM""]}]";;TopWar;Основные биржевые индексы резко снизились, курсы криптовалют рухнули В Одесской области 317 тысяч семей остались ( без электричества из-за атаки российских дронов Зеленский и Трамп провели телефонный разговор. По данным Axios, они обсуждали ( передачу Украине ракет Томагавк В СБУ заявили ( об ударе по еще одному российскому НПЗ заводу Башнефти в Уфе Евросоюз обвинил ( Таджикистан в неисполнении ордера МУС на арест Путина Во Владивостоке сотни человек вышли ( на митинг против повышения утилизационного сбора на автомобили ЦБ разрешил голосовать за изображение на новой 500-рублевой банкноте только ( после авторизации на Госуслугах .;15.10.2025 11:27
;;;;;;;;;;;;
39;1;15.10.2025 11:27;11.10.2025 21:16;Негативная;ЛОЖЬ;39;MILITARY_REPORT;"[{""start"":17,""end"":23,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]},{""start"":24,""end"":32,""text"":""Томагавк"",""labels"":[""MIL_TERM""]},{""start"":49,""end"":52,""text"":""США"",""labels"":[""GEO_LOC""]},{""start"":53,""end"":60,""text"":""Украины"",""labels"":[""TARGET_ENTITY""]},{""start"":61,""end"":66,""text"":""Трамп"",""labels"":[""SOURCE""]},{""start"":71,""end"":78,""text"":""Зеленский"",""labels"":[""SOURCE""]}]";;Медуза — LIVE;Они обсуждали  Украине ракет Томагавк Axios Президенты США и Украины Дональд Трамп и Владимир Зеленский 11 октября провели телефонный разговор. Два источника Axios сообщили, что среди прочего обсуждалась передача Украине американских дальнобойных крылатых ракет Томагавк . Обсудили возможности усилить нашу ПВО и договоренности, которые мы готовим по этому поводу.;15.10.2025 11:27
;;;;;;;;;;;;
40;1;15.10.2025 11:27;11.10.2025 19:08;Негативная;ЛОЖЬ;40;ATTACK_REPORT;"[{""start"":35,""end"":42,""text"":""Одессе"",""labels"":[""GEO_LOC""]},{""start"":79,""end"":101,""text"":""Украинские беспилотники"",""labels"":[""MIL_TERM""]},{""start"":132,""end"":153,""text"":""Башнефть-УНПЗ"",""labels"":[""ORG""]}]";;Медуза — LIVE;Из-за ударов в Одессе и области без электричества остались 317 тысяч семей. Украинские беспилотники утром 11 октября нанесли удар по нефтеперерабатывающему заводу Башнефть-УНПЗ в Уфе, сообщили несколько украинских СМИ со ссылкой на источник в спецслужбах. Российские власти удар по предприятию пока не подтвердили.;15.10.2025 11:27
;;;;;;;;;;;;
41;1;15.10.2025 11:27;11.10.2025 17:36;Нейтральная;ЛОЖЬ;41;MILITARY_REPORT;"[{""start"":31,""end"":42,""text"":""стены дронов"",""labels"":[""MIL_TERM""]},{""start"":51,""end"":57,""text"":""Европы"",""labels"":[""GEO_LOC""]}]";;Медуза — LIVE;Обсуждались, в частности, создание стены дронов для защиты Европы и скоординированная система мониторинга воздушного пространства.;15.10.2025 11:27
;;;;;;;;;;;;
42;1;15.10.2025 11:27;11.10.2025 16:18;Негативная;ИСТИНА;42;ATTACK_REPORT;"[{""start"":6,""end"":9,""text"":""СБУ"",""labels"":[""ORG""]},{""start"":10,""end"":16,""text"":""атаковали"",""labels"":[""MIL_TERM""]},{""start"":24,""end"":34,""text"":""Башнефти"",""labels"":[""ORG""]},{""start"":38,""end"":41,""text"":""Уфе"",""labels"":[""GEO_LOC""]}]";;TopWar;Дроны СБУ атаковали завод Башнефти в Уфе украинские СМИ Украинские беспилотники утром 11 октября нанесли удар по нефтеперерабатывающему заводу Башнефть-УНПЗ в Уфе, пишут РБК-Украина и Суспильне со ссылкой на источник в спецслужбах. Российские власти удар по НПЗ в Уфе пока не подтвердили. Аэропорт Уфы утром 11 октября прерывал работу из-за угрозы атаки дронов.;15.10.2025 11:27
;;;;;;;;;;;;
43;1;15.10.2025 11:27;11.10.2025 13:17;Негативная;ЛОЖЬ;43;ATTACK_REPORT;"[{""start"":3,""end"":12,""text"":""Волгограде"",""labels"":[""GEO_LOC""]},{""start"":37,""end"":55,""text"":""украинских дронов"",""labels"":[""MIL_TERM""]},{""start"":86,""end"":108,""text"":""украинских беспилотников"",""labels"":[""MIL_TERM""]},{""start"":334,""end"":337,""text"":""ПВО"",""labels"":[""MIL_TERM""]}]";;Медуза — LIVE;В Волгограде в результате удара украинских дронов повреждены ( жилые дома, есть пострадавшие Во время атаки украинских беспилотников в Волгограде повреждены жилые дома, сообщил губернатор Волгоградской области Андрей Бочаров. В результате падения обломков БПЛА на улице 50 лет Октября в Волгограде в трех многоквартирных домах, а также зданиях школы и детского сада частично выбиты стекла, Ранения осколками оконного стекла получил мужчина пенсионного возраста , ему оказана медицинская помощь, сказал Бочаров. Минобороны РФ объявило, что в ночь на 11 октября над территорией России силами ПВО были уничтожены 42 украинских беспилотника, в том числе 19 над Волгоградской областью.;15.10.2025 11:27
;;;;;;;;;;;;
44;1;15.10.2025 11:27;11.10.2025 02:02;Негативная;ЛОЖЬ;44;ATTACK_REPORT;"[{""start"":32,""end"":38,""text"":""Россия"",""labels"":[""SOURCE""]},{""start"":48,""end"":74,""text"":""энергетическим объектам"",""labels"":[""MIL_TERM""]},{""start"":78,""end"":85,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]}]";;Медуза — LIVE;Главные новости 10 октября Россия нанесла  удар по энергетическим объектам в Украине.;15.10.2025 11:27
;;;;;;;;;;;;
45;1;15.10.2025 11:27;11.10.2025 00:57;Негативная;ИСТИНА;45;SANCTION_REPORT;"[{""start"":46,""end"":54,""text"":""санкциями"",""labels"":[""MIL_TERM""]}]";;TopWar;Эти меры включают в себя запрет на совершение различных сделок например, в пользу лиц, находящихся под санкциями, а также предусматривающих платежи и операции с ценными бумагами.;15.10.2025 11:27
;;;;;;;;;;;;
46;1;15.10.2025 11:27;10.10.2025 22:51;Негативная;ЛОЖЬ;46;ACCIDENT_REPORT;"[{""start"":31,""end"":36,""text"":""взрыв"",""labels"":[""MIL_TERM""]},{""start"":56,""end"":67,""text"":""погибшие"",""labels"":[""MIL_TERM""]},{""start"":72,""end"":92,""text"":""Accurate Energetic Systems"",""labels"":[""ORG""]},{""start"":26,""end"":33,""text"":""Теннесси"",""labels"":[""GEO_LOC""]}]";;milinfolive;На военном заводе в Теннесси произошел взрыв. Есть погибшие, около 20 человек пропали без вести В результате взрыва на заводе Accurate Energetic Systems в штате Теннесси несколько человек погибли . Их точное число неизвестно департамент здравоохранения пока не подтвердил данные по ним. Кроме того, после взрыва есть без вести пропавшие по меньшей мере 19 человек.;15.10.2025 11:27
;;;;;;;;;;;;
47;1;15.10.2025 11:27;10.10.2025 19:28;Негативная;ЛОЖЬ;47;ATTACK_REPORT;"[{""start"":8,""end"":37,""text"":""Российские вооруженные силы"",""labels"":[""SOURCE""]},{""start"":53,""end"":59,""text"":""удар"",""labels"":[""MIL_TERM""]},{""start"":63,""end"":70,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]}]";;Медуза — LIVE;Главное Российские вооруженные силы нанесли массированный удар по Украине. Россия провела эту атаку в годовщину одного из первых массированных ударов по объектам энергетики Украины, нанесенного 10 октября 2022 года.;15.10.2025 11:27
;;;;;;;;;;;;
48;1;15.10.2025 11:27;10.10.2025 10:10;Негативная;ИСТИНА;48;ATTACK_REPORT;"[{""start"":0,""end"":8,""text"":""Войска РФ"",""labels"":[""SOURCE""]},{""start"":27,""end"":32,""text"":""удар"",""labels"":[""MIL_TERM""]},{""start"":36,""end"":41,""text"":""Киеву"",""labels"":[""TARGET_ENTITY""]}]";;Медуза — LIVE;Войска РФ нанесли массированный удар по Киеву. В Минэнерго Украины сообщили  что в ночь на 10 октября ВС РФ нанесли массированный удар по украинской энергетической инфраструктуре.;15.10.2025 11:27
;;;;;;;;;;;;
49;1;15.10.2025 11:27;09.10.2025 17:56;Негативная;ЛОЖЬ;49;ACCIDENT_REPORT;"[{""start"":37,""end"":40,""text"":""РФ"",""labels"":[""SOURCE""]},{""start"":67,""end"":71,""text"":""ВСУ"",""labels"":[""ORG""]},{""start"":74,""end"":100,""text"":""атака дронов на регионы Кавказа"",""labels"":[""MIL_TERM""]},{""start"":124,""end"":144,""text"":""российской системы ПВО"",""labels"":[""MIL_TERM""]}]";;milinfolive;По словам президента РФ, среди причин крушения атака дронов ВСУ на регионы Кавказа и технический сбой российской системы ПВО. Две ракеты, которые были выпущены, не поразили напрямую самолет (если бы это произошло, он рухнул бы на месте), а взорвались, может быть, это была самоликвидация, в нескольких метрах, где-то примерно в десяти метрах. И поэтому поражение произошло, но главным образом не поражающими элементами боевыми, а скорее всего, обломками самих ракет заявил Владимир Путин.;15.10.2025 11:27
;;;;;;;;;;;;
50;1;15.10.2025 11:27;09.10.2025 17:40;Негативная;ИСТИНА;50;ATTACK_REPORT;"[{""start"":26,""end"":34,""text"":""Украины"",""labels"":[""TARGET_ENTITY""]},{""start"":84,""end"":90,""text"":""Россия"",""labels"":[""SOURCE""]},{""start"":100,""end"":121,""text"":""Харьковской и Полтавской областям"",""labels"":[""GEO_LOC""]},{""start"":169,""end"":209,""text"":""внутренней добычи природного газа"",""labels"":[""MIL_TERM""]}]";;РИА Новости;Что происходит в 1324-й день Власти Украины сообщили западным союзникам, что массированный удар России по Харьковской и Полтавской областям 3 октября лишил страну примерно 60 внутренней добычи природного газа, утверждает Bloomberg. Если удары по объектам газодобывающей инфраструктуры в преддверии зимы продолжатся, Украине придется нарастить импорт, потратив на это около двух миллиардов евро.;15.10.2025 11:27
;;;;;;;;;;;;
51;1;15.10.2025 11:27;09.10.2025 16:44;Негативная;ЛОЖЬ;51;ACCIDENT_REPORT;"[{""start"":0,""end"":5,""text"":""Путин"",""labels"":[""SOURCE""]},{""start"":31,""end"":44,""text"":""ракеты России"",""labels"":[""MIL_TERM""]},{""start"":55,""end"":59,""text"":""AZAL"",""labels"":[""TARGET_ENTITY""]},{""start"":102,""end"":108,""text"":""Россия"",""labels"":[""SOURCE""]},{""start"":111,""end"":114,""text"":""ПВО"",""labels"":[""MIL_TERM""]}]";;Медуза — LIVE;Путин заявил Алиеву, что ракеты России не поразили самолет AZAL, а взорвались рядом с ним Президенты России и Азербайджана встретились в Таджикистане. По словам президента РФ, две ракеты, которые выпустила система ПВО России, не поразили самолет AZAL напрямую, а взорвались в нескольких метрах. В правительстве Азербайджана неофициально говорили, что самолет сбили российской ракетой ПВО.;15.10.2025 11:27
;;;;;;;;;;;;
52;1;15.10.2025 11:27;09.10.2025 11:11;Негативная;ИСТИНА;52;ATTACK_REPORT;"[{""start"":0,""end"":14,""text"":""Под удар попали"",""labels"":[""MIL_TERM""]},{""start"":21,""end"":35,""text"":""Вооруженные силы РФ"",""labels"":[""SOURCE""]},{""start"":44,""end"":60,""text"":""Одесскую область"",""labels"":[""GEO_LOC""]},{""start"":61,""end"":83,""text"":""ударными беспилотниками"",""labels"":[""MIL_TERM""]}]";;РИА Новости;Под удар попали объекты энергетики и порт Вооруженные силы РФ атаковали Одесскую область ударными беспилотниками.;15.10.2025 11:27
;;;;;;;;;;;;
53;1;15.10.2025 11:27;08.10.2025 10:32;Негативная;ЛОЖЬ;53;DISINFORMATION;"[{""start"":29,""end"":33,""text"":""НАТО"",""labels"":[""SOURCE""]},{""start"":60,""end"":85,""text"":""вторжение российских беспилотников"",""labels"":[""MIL_TERM""]},{""start"":105,""end"":113,""text"":""Россия"",""labels"":[""SOURCE""]},{""start"":125,""end"":133,""text"":""Украине"",""labels"":[""GEO_LOC""]}]";;Медуза — LIVE;Александр Баунов объясняет, почему в НАТО так сдержанно реагируют на вторжение российских беспилотников В последние недели Россия усилила удары по Украине и активизировала гибридные атаки уже на территории Европы.;15.10.2025 11:27
;;;;;;;;;;;;
54;1;15.10.2025 11:27;07.10.2025 19:11;Негативная;ИСТИНА;54;DISCREDITATION;"[{""start"":7,""end"":36,""text"":""оккупированной Запорожской области"",""labels"":[""GEO_LOC""]},{""start"":67,""end"":70,""text"":""ВСУ"",""labels"":[""MIL_TERM""]},{""start"":90,""end"":97,""text"":""Россией"",""labels"":[""SOURCE""]}]";;Медуза — LIVE;Власти оккупированной Запорожской области заявили, что она обесточена после удара ВСУ ( Назначенное Россией Минэнерго оккупированного региона заявило, что ВСУ нанесли удар по объектам электроэнергетики.;15.10.2025 11:27
;;;;;;;;;;;;
55;1;15.10.2025 11:27;07.10.2025 16:47;Нейтральная;ЛОЖЬ;55;ATTACK_REPORT;"[{""start"":87,""end"":106,""text"":""Нововоронежской АЭС"",""labels"":[""GEO_LOC""]},{""start"":107,""end"":120,""text"":""дрон взорвался"",""labels"":[""MIL_TERM""]},{""start"":150,""end"":167,""text"":""российских военных"",""labels"":[""SOURCE""]},{""start"":192,""end"":205,""text"":""Воронежской областью"",""labels"":[""GEO_LOC""]}]";;milinfolive;После столкновения с башенной испарительной градирней действующего энергоблока 6 Нововоронежской АЭС дрон взорвался. 18 дронов, по словам российских военных, были сбиты силами ПВО над Воронежской областью.;15.10.2025 11:27
;;;;;;;;;;;;
56;1;15.10.2025 11:27;11.10.2025 23:32;Нейтральная;ЛОЖЬ;56;ATTACK_REPORT;"[{""start"":0,""end"":3,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":43,""end"":68,""text"":""украинских беспилотников"",""labels"":[""MIL_TERM""]},{""start"":73,""end"":108,""text"":""Белгородской и Курской областями"",""labels"":[""GEO_LOC""]},{""start"":120,""end"":135,""text"":""Минобороны РФ"",""labels"":[""SOURCE""]}]";;РИА Новости;ПВО с 15.00 до 21.00 мск в субботу уничтожила 7 украинских беспилотников над Белгородской и Курской областями, сообщает Минобороны РФ;15.10.2025 11:27
;;;;;;;;;;;;
57;1;15.10.2025 11:27;11.10.2025 22:01;Негативная;ИСТИНА;57;DISCREDITATION;"[{""start"":21,""end"":33,""text"":""ПВО Patriot"",""labels"":[""MIL_TERM""]},{""start"":37,""end"":45,""text"":""Украине"",""labels"":[""GEO_LOC""]},{""start"":71,""end"":79,""text"":""Еспрессо"",""labels"":[""SOURCE""]}]";;РИА Новости;Эффективность систем ПВО Patriot на Украине упала до 6 , сообщил украинский телеканал Еспрессо , ссылаясь на экс-заместителя главы генштаба Игоря Романенко.;15.10.2025 11:27
;;;;;;;;;;;;
58;1;15.10.2025 11:27;11.10.2025 21:51;Негативная;ИСТИНА;58;PANIC_CREATION;"[{""start"":0,""end"":22,""text"":""Белгородский губернатор"",""labels"":[""SOURCE""]},{""start"":90,""end"":93,""text"":""ВСУ"",""labels"":[""MIL_TERM""]}]";;РИА Новости;Белгородский губернатор предупредил о кратковременных веерных отключениях электроэнергии после обстрела ВСУ;15.10.2025 11:27
;;;;;;;;;;;;
59;1;15.10.2025 11:27;11.10.2025 21:44;Нейтральная;ЛОЖЬ;59;ATTACK_REPORT;"[{""start"":7,""end"":10,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":17,""end"":38,""text"":""украинские ракеты"",""labels"":[""MIL_TERM""]},{""start"":43,""end"":80,""text"":""Белгородом и Белгородским районом"",""labels"":[""GEO_LOC""]},{""start"":127,""end"":141,""text"":""глава региона Гладков"",""labels"":[""SOURCE""]}]";;РИА Новости;Система ПВО сбила украинские ракеты над Белгородом и Белгородским районом, информация о пострадавших пока не поступает, сообщил глава региона Гладков;15.10.2025 11:27
;;;;;;;;;;;;
60;1;15.10.2025 11:27;15.10.2025 11:20;Negative;ЛОЖЬ;60;ATTACK_REPORT;"[{""start"":0,""end"":17,""text"":""Ukrainian drones"",""labels"":[""SOURCE""]},{""start"":18,""end"":36,""text"":""targeted fuel depots"",""labels"":[""MIL_TERM""]},{""start"":40,""end"":57,""text"":""Belgorod region"",""labels"":[""GEO_LOC""]}]";;WarMonitors;Ukrainian drones targeted fuel depots in Belgorod region overnight, Russian authorities reported multiple explosions.;15.10.2025 11:27
;;;;;;;;;;;;
61;1;15.10.2025 11:27;15.10.2025 12:42;Neutral;ЛОЖЬ;61;PANIC_CREATION;"[{""start"":0,""end"":4,""text"":""NATO"",""labels"":[""SOURCE""]},{""start"":16,""end"":41,""text"":""Russian missile activity"",""labels"":[""MIL_TERM""]},{""start"":47,""end"":57,""text"":""Black Sea"",""labels"":[""GEO_LOC""]}]";;WarMonitors;NATO warns that Russian missile activity near the Black Sea poses a growing threat to regional stability.;15.10.2025 11:27
;;;;;;;;;;;;
62;1;15.10.2025 11:27;15.10.2025 13:05;Neutral;ЛОЖЬ;62;AUTHORITY_UNDERSCORE;"[{""start"":0,""end"":6,""text"":""Russia"",""labels"":[""SOURCE""]},{""start"":15,""end"":38,""text"":""S-500 missile systems"",""labels"":[""MIL_TERM""]},{""start"":45,""end"":50,""text"":""Kursk"",""labels"":[""GEO_LOC""]}]";;WarMonitors;Russia deployed new S-500 missile systems near Kursk, enhancing its air defense capabilities.;15.10.2025 11:27
;;;;;;;;;;;;
63;1;15.10.2025 11:27;15.10.2025 13:48;Positive;ИСТИНА;63;AUTHORITY_UNDERSCORE;"[{""start"":0,""end"":8,""text"":""Pentagon"",""labels"":[""SOURCE""]},{""start"":57,""end"":64,""text"":""Ukraine"",""labels"":[""TARGET_ENTITY""]}]";;CNN International;Pentagon confirmed additional $400 million in aid to Ukraine, including air defense missiles and drones.;15.10.2025 11:27
;;;;;;;;;;;;
64;1;15.10.2025 11:27;15.10.2025 14:15;Neutral;ЛОЖЬ;64;DISCREDITATION;"[{""start"":19,""end"":25,""text"":""Russian"",""labels"":[""SOURCE""]},{""start"":26,""end"":42,""text"":""fortifications"",""labels"":[""MIL_TERM""]},{""start"":78,""end"":90,""text"":""Zaporizhzhia"",""labels"":[""GEO_LOC""]}]";;Al Jazeera;Satellite imagery reveals new Russian fortifications being built along the front line in Zaporizhzhia.;15.10.2025 11:27
;;;;;;;;;;;;
65;1;15.10.2025 11:27;15.10.2025 14:38;Negative;ЛОЖЬ;65;INTIMIDATION;"[{""start"":2,""end"":20,""text"":""Russian missile strike"",""labels"":[""MIL_TERM""]},{""start"":47,""end"":54,""text"":""Kharkiv"",""labels"":[""GEO_LOC""]}]";;CNN International;A Russian missile strike hit residential areas in Kharkiv, causing casualties among civilians.;15.10.2025 11:27
;;;;;;;;;;;;
66;1;15.10.2025 11:27;14.10.2025 13:22;Negative;ИСТИНА;66;ATTACK_REPORT;"[{""start"":0,""end"":19,""text"":""Russian forces"",""labels"":[""SOURCE""]},{""start"":39,""end"":44,""text"":""drone"",""labels"":[""MIL_TERM""]},{""start"":60,""end"":67,""text"":""Ukraine"",""labels"":[""GEO_LOC""]}]";;The Guardian;Russian forces launched a massive drone strike on Ukraine’s energy infrastructure overnight, causing power outages in several regions.;15.10.2025 11:27
;;;;;;;;;;;;
67;1;15.10.2025 11:27;14.10.2025 14:10;Neutral;ЛОЖЬ;67;AUTHORITY_UNDERSCORE;"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORG""]},{""start"":70,""end"":76,""text"":""Russia"",""labels"":[""GEO_LOC""]}]";;The Guardian;The European Union is preparing a new package of sanctions against Russia, targeting banks and oil companies.;15.10.2025 11:27
;;;;;;;;;;;;
68;1;15.10.2025 11:27;13.10.2025 23:44;Negative;ИСТИНА;68;PANIC_CREATION;"[{""start"":18,""end"":24,""text"":""Berlin"",""labels"":[""GEO_LOC""]},{""start"":62,""end"":66,""text"":""Gaza"",""labels"":[""GEO_LOC""]}]";;CNN;Thousands protest in Berlin calling for an immediate ceasefire in Gaza amid rising civilian casualties.;15.10.2025 11:27
;;;;;;;;;;;;
69;1;15.10.2025 11:27;13.10.2025 18:19;Neutral;ЛОЖЬ;69;PROVOCATION;"[{""start"":23,""end"":44,""text"":""major roads in London"",""labels"":[""GEO_LOC""]}]";;The Guardian;Climate activists blocked major roads in London demanding urgent government action on fossil fuel use.;15.10.2025 11:27
;;;;;;;;;;;;
70;1;15.10.2025 11:27;14.10.2025 11:44;Negative;ЛОЖЬ;70;ATTACK_REPORT;"[{""start"":0,""end"":6,""text"":""Israel"",""labels"":[""GEO_LOC""]},{""start"":25,""end"":29,""text"":""Gaza"",""labels"":[""GEO_LOC""]}]";;Al Jazeera;Israel continues airstrikes on southern Gaza as humanitarian situation worsens.;15.10.2025 11:27
